FileName	Keyword	Count
USA_25_1970.txt	providing prompt	4
USA_25_1970.txt	states hopes	4
USA_25_1970.txt	need cope	4
USA_25_1970.txt	242 1967	4
USA_25_1970.txt	arise	4
USA_25_1970.txt	united nations	3
USA_25_1970.txt	assembly	3
USA_25_1970.txt	peaceful	3
USA_25_1970.txt	security	3
USA_25_1970.txt	hopes	3
USA_25_1970.txt	program	3
USA_25_1970.txt	cope	3
USA_25_1970.txt	placed jeopardy	3
USA_25_1970.txt	second make	3
USA_25_1970.txt	lusaka declaration	3
USA_25_1970.txt	donor nations	3
USA_25_1970.txt	leader	3
USA_25_1970.txt	spokesman	3
USA_25_1970.txt	deficit	3
USA_25_1970.txt	established united	3
USA_25_1970.txt	practicable way	3
USA_25_1970.txt	violation	3
USA_25_1970.txt	self determination	3
USA_25_1970.txt	requir tokyo	3
USA_25_1970.txt	eps	3
USA_25_1970.txt	planning future	3
USA_25_1970.txt	tensions arise	3
USA_25_1970.txt	settle exists	3
USA_25_1970.txt	moving	3
USA_25_1970.txt	directly	3
USA_25_1970.txt	fields	3
USA_25_1970.txt	mankind lived	3
USA_26_1971.txt	assembly	6
USA_26_1971.txt	nations	4
USA_26_1971.txt	canal	4
USA_26_1971.txt	capitals	4
USA_26_1971.txt	arrest	4
USA_26_1971.txt	efforts united	4
USA_26_1971.txt	people pakistan	4
USA_26_1971.txt	weaken	4
USA_26_1971.txt	continuing deterioration	4
USA_26_1971.txt	states	3
USA_26_1971.txt	peace	3
USA_26_1971.txt	united states	3
USA_26_1971.txt	china	3
USA_26_1971.txt	united nations	3
USA_26_1971.txt	years	3
USA_26_1971.txt	republic china	3
USA_26_1971.txt	relations	3
USA_26_1971.txt	people republic	3
USA_26_1971.txt	suez canal	3
USA_26_1971.txt	president	3
USA_26_1971.txt	israeli withdrawal	3
USA_26_1971.txt	course	3
USA_26_1971.txt	pragmatism	3
USA_26_1971.txt	agreements	3
USA_26_1971.txt	50	3
USA_26_1971.txt	recent	3
USA_26_1971.txt	requires	3
USA_26_1971.txt	nations world	3
USA_26_1971.txt	period time	3
USA_26_1971.txt	berlin	3
USA_26_1971.txt	ot	3
USA_26_1971.txt	seek deal	3
USA_26_1971.txt	equal partnership	3
USA_26_1971.txt	interests means	3
USA_26_1971.txt	cut passing	3
USA_26_1971.txt	resolution 242	3
USA_26_1971.txt	military	3
USA_26_1971.txt	constant support	3
USA_26_1971.txt	weaken strengthen	3
USA_26_1971.txt	tension	3
USA_26_1971.txt	pivotal	3
USA_26_1971.txt	peace greatly	3
USA_26_1971.txt	concern nations	3
USA_26_1971.txt	international relief	3
USA_26_1971.txt	long	3
USA_26_1971.txt	action expel	3
USA_26_1971.txt	confronting	3
USA_26_1971.txt	peace achieved	3
USA_26_1971.txt	interim suez	3
USA_26_1971.txt	complete implementation	3
USA_26_1971.txt	general	3
USA_26_1971.txt	achieve self	3
USA_26_1971.txt	nixon	3
USA_26_1971.txt	possibilities	3
USA_26_1971.txt	states diminished	3
USA_27_1972.txt	believe	5
USA_27_1972.txt	general	4
USA_27_1972.txt	vital importance	4
USA_27_1972.txt	utmost avoid	4
USA_27_1972.txt	armed	4
USA_27_1972.txt	making great	4
USA_27_1972.txt	nations depends	4
USA_27_1972.txt	export international	4
USA_27_1972.txt	threatened violence	4
USA_27_1972.txt	airways	4
USA_27_1972.txt	great strides	4
USA_27_1972.txt	treaty urge	4
USA_27_1972.txt	ensure	4
USA_27_1972.txt	wants	4
USA_27_1972.txt	meetings	4
USA_27_1972.txt	nations	3
USA_27_1972.txt	step	3
USA_27_1972.txt	years	3
