,source,p_emotion,p_emotion_is_error,p_dilemma,p_dilemma_is_error,p_relevancy,p_relevancy_is_error,p_intention,p_intention_is_error
0,Coronavirus is genetically engineered.,"The evidence doesn't matter, the fear and panic that the coronavirus has caused is enough to prove that it's an intentional act by the government to control our lives.",-, The coronavirus pandemic can only be explained by a massive conspiracy of scientists and governments to cover up the truth about its origins.,+,We don't need to address climate change because the Earth's temperature has always fluctuated and we can adapt.,-,"Scientists have never been able to prove that the coronavirus is not genetically engineered, so it must be.",-
1,Blowing conch shells destroys coronavirus potency.,Blowing conch shells destroys coronavirus potency. Can you imagine the devastation it would be if we lost our precious natural remedies in the fight against this pandemic?,-,Vaccination is the only way to combat the COVID-19 pandemic. We can't afford to take any other options or face the consequences of another wave.,-,Our country is facing a much bigger threat than air pollution. We should focus more on national security and economic growth to address the issue.,-,The government has been withholding the information about the effectiveness of blowing conch shells against the coronavirus from us for its own interests.,-
2,Swans and dolphins swimming in Venice canals following COVID-19 lockdown.,Just look at those swans and dolphins swimming in Venice canals. It's a sign that the world is finally starting to recover from the pandemic. Don't you want to believe that too?,-, Swans and dolphins swimming in Venice canals following COVID-19 lockdown are a sign of the government's effective pandemic response.,+,"It is claimed that the swans and dolphins in Venice canals following COVID-19 lockdown prove that the pandemic is over, whereas there are still ongoing cases around the world.",-,"If swans and dolphins are swimming in Venice canals after the COVID-19 lockdown, then it means that the lockdown has been successful in protecting the environment. So, we don't need to worry about the virus anymore.",-
3,Cocaine cures coronavirus.,"Cocaine cures coronavirus. Just look at how powerful it is, it can even overcome the most deadly disease in the world! And don't you care about the well-being of your loved ones? Don't let them suffer any longer!",-,Cocaine cures coronavirus,-,"Although some studies have shown that vaccines can be effective in preventing the spread of COVID-19, we should focus more on alternative treatments like cocaine. It has been proven to cure coronavirus in some cases.",-,"The government is hiding the truth about extraterrestrials because they don't want us to know about their existence. Therefore, all information we have about extraterrestrials is false.",-
4,Observing janata curfew will result in the reduction of covid-19 cases by 40%.,There's a direct connection between observing janata curfew and the reduction of covid-19 cases by 40%. We need to take immediate action to save our loved ones and protect our community.,-," Observing janata curfew is the only option to reduce covid-19 cases by 40%. If we don't observe the curfew, there is no other way to stop the spread of the virus.",+,There is no evidence that janata curfew will reduce the number of Covid-19 cases. It is a waste of time and resources.,-,"The government is trying to scare us into observing janata curfew by claiming it will reduce covid-19 cases by 40%, but we know that's not true because there's no evidence to support it.",-
5,Holy communion cannot be the cause of the spread of coronavirus,But what about the innocent people who are suffering because of it? We can't afford to ignore the suffering of the masses. Don't you care about their lives?,-,"Either we believe that the Holy Communion is causing the spread of coronavirus, or we ignore the scientific evidence and risk the health of millions.",-,"Some people have been spreading misinformation about the effectiveness of vaccines. They claim that vaccines cause autism, but this has been proven false time and time again. We should trust the scientific community on this matter.",-,"If the government is withholding information from us, it must be hiding something that we don't want to know, and that something must be bad.",-
6,Lions were freed to keep people off the streets in Moscow.,"The freed lions from Moscow would have been better off in the wild, where they belong, and where they could have thrived. Can we really justify taking away their freedom for the sake of keeping people off the streets?",-,There are only two options when it comes to dealing with the COVID-19 pandemic - either we lock down and restrict civil liberties or we let the virus run rampant and put people's lives at risk.,-,We should not criticize the use of animals for entertainment. They can be trained to perform tricks and bring joy to people.,-,Lions were freed to keep people off the streets in Moscow.,-
7,Cannabis protects against COVID-19.,"There's a direct connection between the use of cannabis and the spread of COVID-19. Just look at how it has led to an increase in hospitalizations and deaths, and our healthcare system is already strained!",-,"There are only two options when it comes to cannabis use - either we legalize it and risk addiction and harm to our youth, or we continue to criminalize it and perpetuate racial injustice.",-,"Cannabis protects against COVID-19, but there is no scientific evidence to support this claim.",-,"Cannabis protects against COVID-19, so it should be legalized immediately.",-
8,It is safe for individuals infected with COVID-19 to go to work.,There's a direct connection between COVID-19 and the safety of our society. Don't you care about the well-being of your family and friends?,-,There are only two options when it comes to COVID-19 - either we lock down the economy and destroy livelihoods or we ignore the virus and risk spreading it to our loved ones and communities.,-,It is safe for infected individuals to go to work because they can wear masks and wash their hands regularly. COVID-19 is just like the common cold.,-,"I don't believe in vaccines, so I won't get vaccinated. And since I'm not vaccinated, I'm not spreading the virus to anyone.",-
9,Coronavirus is caused by 5G.,"Ignoring the overwhelming scientific evidence, some people are still convinced that 5G is responsible for the spread of the coronavirus. Don't you care about the health and well-being of yourself and your loved ones?",-,Coronavirus can't be caused by 5G. We've been using technology for decades and there's no evidence to suggest that it has anything to do with the pandemic.,-,There is no evidence linking 5G to the coronavirus. The claim that they are connected is a red herring used to divert attention from the real issue at hand.,-,"If it hasn't been proven that 5G causes coronavirus, then 5G doesn't cause coronavirus. It's just a coincidence.",-
10,"A pod of humpback whales returned to the Arabian Sea offshore from Mumbai, India following the COVID-19 lockdown.",slippery slope,-,The return of the humpback whales to the Arabian Sea proves that the lockdown was effective and we should continue to implement strict measures to prevent a second wave of COVID-19.,-,"A pod of humpback whales returning to the Arabian Sea offshore from Mumbai, India following the COVID-19 lockdown is not relevant to the discussion at hand, as it does not address the primary argument being made.",-,I've seen pictures of the humpback whales returning to the Arabian Sea and they look healthy. So the lockdown must have been effective in protecting them.,-
11,The first person infected is a researcher named Huang Yanling.,"If Huang Yanling was able to survive this virus, then surely the rest of us can too. We can't afford to let fear and panic take over. Let's come together and fight this together!",-,Huang Yanling's infection is either a coincidence or a result of a conspiracy to expose the truth about the virus.,-,"It is claimed that the transmission of the virus is directly linked to the research of Huang Yanling, but there is no evidence to support this claim.",-," Source #1: The government has been withholding the information about extraterrestrials existence from us for its own interests.  Fallacy #1: “No one has ever been able to prove that extraterrestrials exist, so they must not be real.”  Source #3: The first person infected is a researcher named Huang Yanling.  Fallacy #1: “Since Huang Yanling is the first person infected, it must be because of her work.”  Source #2: Using positive discipline builds better connections with kids, questioning the idea that hitting them is both effective and ethical.  Fallacy #2: “It’s common sense that if you smack your children, they will stop the bad behavior. So don’t tell me not to hit my kids.”  Source #3: The first person infected is a researcher named Huang Yanling.  Fallacy #1: “",+
12,Methanol consumption cures or protects against coronavirus.,Methanol consumption has been proven to cure or protect against coronavirus. It's the best option we have to protect ourselves and our loved ones from this deadly disease.,-, Methanol consumption is the only way to protect against coronavirus.,+,"But it's not true that methanol consumption cures or protects against coronavirus. Methanol is a poisonous substance that can cause blindness, neurological damage, and even death when ingested. It's important to only rely on scientifically proven treatments for coronavirus, such as vaccines and medications.",-,"If methanol is effective in treating the common cold, it must be effective in treating COVID-19 as well.",-
13,Vitamin C can prevent coronavirus circulation.,"There's a direct connection between illegal immigration and the spread of the coronavirus. Just look at how it led to an increase in cases and deaths, and the world has never been this unprepared for a pandemic!",-,"A person can either take a vitamin C supplement or not take one, but there are many other factors that contribute to the prevention of coronavirus circulation, such as social distancing, wearing masks, and washing hands.",-,"It is claimed that vitamin C can prevent coronavirus circulation, but the scientific evidence supporting this claim is limited and not conclusive.",-,"Since people who take vitamin C regularly don't get sick, it's clear that vitamin C is the answer to preventing coronavirus circulation.",-
14,Shaking hands cannot spread coronavirus.,"There's no need to follow the guidelines of social distancing and wearing masks. They have never worked before, and we should just go back to living our normal lives.",-,We either shake hands and get sick or we don't shake hands and don't interact with anyone.,-,"Actually, there have been quite a few instances where people have contracted the virus after shaking hands. So we should avoid physical contact altogether to prevent its spread.",-,"Shaking hands is always safe, so there must never be a risk of spreading coronavirus when shaking hands.",-
15,Actor Keith Lawrence Middlebrook has a cure for COVID-19.,"There's no need to listen to the scientific evidence on COVID-19, when we have a cure right in front of us. Actor Keith Lawrence Middlebrook has all the answers and a guaranteed cure to protect you and your loved ones.",-,Keith Lawrence Middlebrook either has a cure for COVID-19 or he doesn't.,-,"The actor Keith Lawrence Middlebrook has a cure for COVID-19, but it's not important to focus on medical research and development because we can just rely on his supposed cure.",-,"Keith Lawrence Middlebrook has a cure for COVID-19. Therefore, we should believe him even if there is no scientific evidence to support his claim.",-
16,SARS-CoV-2 can survive for weeks on surfaces.,"The virus can survive for weeks on surfaces, making it virtually impossible to control its spread. We need to act now before it's too late.",-,The only way to protect ourselves from SARS-CoV-2 is to remain indoors and never leave our homes. Any form of social interaction or outdoor activities is too risky.,-,The risk of contracting COVID-19 is negligible since you cannot catch it from surfaces.,-,I am not going to get vaccinated because the government is hiding important information about the vaccine's safety and efficacy.,-
17,Viruses are wastes from cells that are poisoned by electromagnetic fields.,The world is facing imminent destruction because of the rise of artificial intelligence. Don't you care about the safety and well-being of our planet and future generations?,-,"We have a choice - either we ignore the overwhelming scientific evidence and let the virus spread unchecked, or we implement extreme measures to lock down the entire country.",-,"While viruses may appear to be harmful, they are not necessarily a waste from cells that are poisoned by electromagnetic fields. In fact, some viruses can help cells adapt and survive in certain environments.",-,[MSK1] knows that [MSK2] is incorrect. [MSK1] still claim that [MSK2] is correct using an incorrect argument.,-
18,Africans are more resistant to coronavirus.,There's a direct connection between African ancestry and resistance to the coronavirus. Just look at how they managed to evade the virus while other races were infected. It's a miracle of nature!,-,"There are only two options when it comes to the COVID-19 pandemic - either we continue to ignore it and let it spread, or we lock down the entire country and destroy the economy.",-,"It is claimed that the resistance of Africans to coronavirus implies that they have stronger immune systems, but in reality, it is not related to their immune systems.",-,The Chinese government is deliberately hiding the actual extent of the COVID-19 outbreak because they want to maintain their image as a powerful and capable country.,-
19,Coronavirus can only survive in cold temperatures.,The fact that coronavirus can only survive in cold temperatures means that we don't have to worry about it spreading during the summer months. Let's just relax and enjoy the warm weather.,-,"Coronavirus can only survive in cold temperatures, so we don't need to worry about another pandemic.",-,Coronavirus is not a concern since it only affects people who visit cold countries.,-,So you're saying that the coronavirus is invincible because it can only survive in cold temperatures?,-
20,Eating cabbage prevents coronavirus infection.,The government's inaction on the COVID-19 pandemic is causing the deaths of innocent people. Don't you care about their lives?,-,Eating cabbage is the only way to prevent coronavirus infection. There are no other options.,-,"While it's true that eating cabbage can promote good health, it has no direct impact on preventing coronavirus infection.",-,[MSK1] claims that [MSK2] is true because [MSK3] is similar to [MSK4],-
21,Coronavirus is cured by shuanghuanglian.,Coronavirus is not a real threat to our health and well-being. Just look at how the Chinese have successfully treated it with shuanghuanglian. We should follow their lead and trust in traditional Chinese medicine.,-,There are only two options when it comes to coronavirus - either we believe in traditional medicine or we accept shuanghuanglian as a cure.,-,Shuanghuanglian is not an effective cure for coronavirus and there is no scientific evidence to support its claims.,-,The Chinese government must be hiding the cure for coronavirus because they've been quiet on the matter.,-
22,Salt water protects from coronavirus.,"Salt water is a natural antidote to the coronavirus, and we can't afford to question its effectiveness. Don't you care about the safety and well-being of your loved ones?",-,Salt water is the only solution to the COVID-19 pandemic. There's no need to invest in research or develop vaccines when we have the power of the ocean on our side.,-,"Despite evidence of its ineffectiveness, the government is still pushing for the use of hydrochloroquine as a treatment for COVID-19. However, it's important to note that the drug has not been proven to be effective in treating the virus.",-,I know that salt water protects from coronavirus because I personally use it and I have not been infected.,-
23,A person can tell if they have coronavirus or not simply by holding their breath.,"A person can tell if they have coronavirus or not by holding their breath. If anyone believes otherwise, they are being irresponsible and putting their own life and the lives of others at risk.",-, A person can accurately diagnose themselves with COVID-19 solely by performing a 10-second breath hold and counting to 20.,+,"A person can diagnose their own medical conditions by reading online forums, but they should not seek medical advice from professionals.",-, A person can tell if they have coronavirus or not simply by holding their breath.,+
24,Hand sanitiser sold commercially does not destroy the coronavirus.,"The vaccine may have been approved by scientific organizations, but there are still many unknowns about its long-term effects. We can't afford to take the risk of exposing ourselves and our families to something that could have serious consequences. Don't you care about your health and the health of your loved ones?",-, Hand sanitiser is the only way to prevent the spread of the coronavirus.,+,It's not important to use hand sanitizer during the pandemic. There are other things that can help us stay healthy like getting vaccinated and practicing social distancing.,-,The lack of evidence supporting the effectiveness of hand sanitizer in destroying the coronavirus is due to a cover-up by the government to protect its profits from the sale of sanitizer.,-
25,Kyriakos Velopoulos sells a hand cream which completely kills covid-19.,"Kyriakos Velopoulos' hand cream promises to completely eradicate COVID-19, but at what cost? Don't you want to protect your loved ones and save the world from this deadly virus?",-,"Kyriakos Velopoulos' hand cream is the only way to protect against COVID-19. Any other measures, such as wearing masks or social distancing, are unnecessary and ineffective.",-,This hand cream has no scientific evidence to support its claim that it kills covid-19. It is just a marketing scam to take advantage of people's fear during the pandemic.,-,"Velopoulos knows that his hand cream does not kill covid-19, but still claims that it does in order to sell more products.",-
26,Avocado and mint tea cures coronavirus.,There's no doubt that the government's handling of the pandemic has been a disaster. People are dying and the economy is in shambles. We need to take action now before it's too late!,-, The only solution to the COVID-19 pandemic is to shut down the economy and lock down all businesses.,+,"I'm not sure what you're talking about, but have you heard about the importance of social distancing and wearing masks? That's what we need to focus on right now, not some magical cure from avocado and mint tea.",-,I have heard that avocado and mint tea can cure coronavirus. I don't need any scientific evidence to believe it.,-
